"","property_id","city","price","surface_total","surface_covered","rooms","bedrooms","bathrooms","title","description","property_type","operation_type","lat","lon","new_surface","ns","st","new_surface_2","surface_total2","bathrooms1","bathrooms2.start","bathrooms2.end","estrato","piso","ascensor","parqueadero","distancia_parque","distancia_estacion_bus","distancia_hospital","distancia_estacion_policia","distancia_banco"
"1","b431f95918341a3680fd120c","Cali",1738643583,"340",  300, 5, 5, 5,"Casa En Venta En Cali El Bosque Cod. VSBI12816","casa esquinera de un piso, con buena rea, excelente ubicacin. consta de cinco cuartos, principal con bao y vestier, dos con closet y bao, bao social, alcoba de servicio con bao, patio interno ornamental, sala, comedor, sala de televisin, cocina tradicional amplia, zona de ropas con patio, garaje para dos carros en lnea, antejardn.","Casa","Venta",3.485000,-76.53000,NA,NA,  340,NA,  300.00,NA,NA,NA,NA,NA,NA,NA,1153.754718,1602.386904, 943.95773, 875.38229, 721.642592
"2","af7aede36ea1df2529081419","Cali", 814303944,"90",   90, 3, 3, 3,"Apartamento En Venta En Cali Valle Del Lili Cod. VINHD1245","venta de espectacular apartamento en valle del lili, moderno, buenos acabados, excelente ubicacin, piso en porcelanato, con un rea de 90 metros cuadrados, distribuidos as: sala - comedor, balcn amplio con hermosa vista externa, bao social, cocina integral, zona de oficios, sala de t.v. y/o estudio, closet de linos, 2 habitaciones auxiliares con closet, alcoba principal con vestier y bao. parqueaderos en el stano con espacio para depsito.  la unidad tiene club house. valor administracin $270.000. valor venta $330.000.000","Apartamento","Venta",3.364000,-76.49500," 90 metros"," 90 metros",NA,   90.00,   90.00,NA,NA,NA,NA,NA,NA,NA,1908.974329,4689.597484,3555.31847,3412.63024,4033.159839
"3","ba8e68faaf298e1ede1e442d","Cali", 796329537," 110 mt",NA,NA, 3, 3,"APARTAMENTO EN VENTA, CALI","apartamento enseguida de unicentro totalmente remodelado con 110 mtr2, 3 habitaciones, principal con baño, sala comedor, estudio, 3 baños, cocina integral moderna, habitación de servicio, parqueaderos, zona social, piscina zonas verdes.","Apartamento","Venta",3.369549,-76.53436," 110 mt"," 110 mt",NA,  110.00,  110.00," 3 baños", 2, 2,NA,NA,NA,NA, 793.151222,3053.533347,1338.30756, 559.99753, 666.066641
"4","f4e212abe62747bfa3de35ef","Cali",1469114918,"150",  150, 3, 3, 4,"Casa Condominio En Venta En Cali Ciudad Jardn","venta de casa en conjunto cerrado en ciudad jardn al sur de cali. espectacular casa de tres pisos remodelada, fresca e iluminada, piso en porcelanato, con rea de 150 mts construidos, distribuidos asi: en el primer piso, encontramos sala y comedor amplio, cocina integral, patio de ropas, cuarto de empleada con bao, bao social y terraza con zona verde, en el segundo piso 2 habitaciones con closet, bao, estudio o sala de t.v. con balcn. tercer piso: habitacin principal con vestier y bao con tina, y una hermosa vista doble parqueaderos paralelo. el conjunto cerrado es muy tranquilo, tiene zonas verdes, piscina adultos y nios, saln social, juegos infantiles. valor $530.000.000. valor administracin $600.000","Casa","Venta",3.361000,-76.53400," 150 mt"," 150 mt",NA,  150.00,  150.00,NA,NA,NA,NA," piso 2",NA,NA, 463.672753,3937.475984,2035.39282, 586.71706, 398.427668
"5","2ca934e229718147e9ab6a3f","Cali", 691453840,"85",   85, 3, 3, 2,"Apartamento En Venta En Cali Valle Del Lili Cod. VMJY1119","vendo hermoso apartamento en valle de lili al sur de cali, cuenta con 3 habitaciones, sala comedor, 2 baos, estudio, parqueaderos propio cubierto y balcn, ascensor, el apartamento esta completamente remodelado, aire acondicionado en la habitaciones, deposito. la copropiedad cuenta con piscina adultos y nios, zona de juegos infantiles, gimnasio, cancha mltiple y saln social, cerca de centros comerciales,, colegios y universidades y clnicas, excelentes vas de acceso en zona de alta valorizacin con excelentes vas de acceso.","Apartamento","Venta",3.368000,-76.52300,NA,NA,   85,NA,   85.00,NA,NA,NA,NA,NA," ascensor",NA, 948.807685,2994.905695,1725.69455, 437.68092,1020.458148
"6","5e1b61c197a444990f7c28bf","Cali",1404129189,"112",  112, 3, 3, 4,"Apartamento En Venta En Cali Cristales Cod. VVLZ3003","apartamento en venta cristales. es un 2do piso con vista parcial a la ciudad, es fresco, ventilado, no le da el sol de la tarde. cuenta con amplio balcn, cocina con isla, cyb del servicio, 3 alcobas, ppal con bao y vestier, 2 garajes independientes, cuenta con cortinas y calentador de agua. queda en condominio con amenidades para toda la familia. bastante seguro. info 3205792694","Apartamento","Venta",3.432000,-76.55200,NA,NA,  112,NA,  112.00,NA,NA,NA,NA,NA,NA,NA,1017.834746, 951.198071, 928.92641, 983.43986, 947.840468
"7","7a1b6e9e31ff08ac7536796c","Cali",1724855097,"161",  161, 3, 3, 5,"Apartamento En Venta En Cali Pance","se vende apto en pance para estrenar en tikkalrea: 161.41m2 o 165.77 m2admon: $ 750.000descripcin: bao social, sala, comedor con balcn, cocina integral, zona de oficios, alcoba del servicio con bao, 3 alcobas con bao y closet, la ppal. con vestier, hall de alcobas. extras: 11 parqueadeross de visitantes internos y 3 externos, portera, lobby, oficina de administracin, piscina de adultos y de nios, saln social, baos, cancha de squash, business center, gimnasio dotado, solarium, jacuzzi, spa lounge (turco y sauna) saln para yoga, sendero peatonal, zonas verdes y estacin de juegos infantiles, chorros de agua para nios, rea de bbq, planta de emergencia total, equipo de presin constante, y uar$ 873.000.000","Apartamento","Venta",3.348000,-76.53400," 165.77 m2"," 165.77 m2",NA,  165.77,  165.77,NA,NA,NA,NA,NA,NA," 11 parqueadero", 780.397136,5338.490201,3321.40145,1343.67721, 435.767826
"8","77753f92a23b9e4c674e8a5c","Cali", 627330541,"102",  102, 3, 3, 3,"Apartamento En Venta En Cali Urbanizacin La Flora","apartamento ubicado en sector exclusivo del norte de la ciudad, barrio la flora, parte nueva, piso alto, iluminado, muy fresco y con excelente vista, compuesto por 3 habitaciones, principal con bao, vestier y balcn, amplia sala comedor, cocina integral con buena rea de servicios, condominio bien equipado, cuenta con sauna, jacuzzi y piscina, rea de juegos para nios, doble ascensor y parqueadeross cubiertos, cercano a centros comerciales, restaurantes, supermercados,  estratgica ubicacin.contctenos: tres diecisiete cinco treinta y uno treinta y uno treinta y cinco","Apartamento","Venta",3.488000,-76.51500,NA,NA,NA,NA,  102.00,NA,NA,NA,NA,NA," ascensor",NA, 124.434161, 415.435659, 896.64430,1025.14879, 662.637581
"9","62114e47c50d55b7a6fe8db8","Cali", 477190930,"89",   89, 3, 3, 2,"Apartamento En Venta En Cali Urbanizacin La Flora Cod. VKWC10405451","se vende este hermoso, fresco e iluminado apartamento ubicado en uno de los mejores sectores del norte de la ciudad de cali, barrio la flora.el apartamento est distribuido con 3 habitaciones las cuales cuentan con muy buena ventilacin, 2 baos, cocina integral, estudio, sala comedor, zona de ropas, parqueaderos asignado cubierto y un balcn con espectacular vista. las zonas sociales de la unidad cuentan con piscina, turco, gimnasio, kiosko y juegos para nios. no te quedes sin la oportunidad de conocer esta espectacular propiedad.","Apartamento","Venta",3.488000,-76.51500,NA,NA,NA,NA,   89.00,NA,NA,NA,NA,NA,NA,NA, 124.434161, 415.435659, 896.64430,1025.14879, 662.637581
"10","b2d57313159dfe4922321051","Cali", 726310714,"133",  133, 5, 5, 2,"Casa-Local En Venta En Cali Calima","venta de propiedad ideal para empresa, esta acondicionada de la siguiente manera, el primer nivel cuenta con 1 oficina, tiene un espacio para tres vehculos, 2baos, para mujer y hombre. 2nivel cuenta con: 4 oficinas, cocina abierta, cuenta con aire acondicionado, muy buena ubicacion, espacios amplios cerca a la 5","Casa","Venta",3.465000,-76.49600,NA,NA,  133,NA,  133.00,NA,NA,NA,NA,NA,NA,NA,  12.445299,1531.488248,1571.94897,1271.89554,1589.236510
"11","50d3e7164f1cb7cf14ad42a6","Cali", 732290988,"118",  118, 3, 3, 3,"Apartamento En Venta En Cali Pance","venta de hermoso apartamento en un exclusiva ubicacin de pance cerca a universidades, colegios, centros comerciales. precio $460.000.000, valor de administracin $340.000. el apto es un primer nivel con ascensor, consta de cocina tipo americano, y zona de oficios con patio, sala comedor, estudio o sala de tv, balcn amplio, baos de visitantes, 3 alcobas, la principal con bao y vestier, el apto tiene 2 parqueadeross lineales en stano y deposito. la unidad tiene vigilancia las 24 horas, zona de juegos infantiles, piscina para adultos y nios, saln social para reuniones.","Apartamento","Venta",3.354000,-76.53000,NA,NA,NA,NA,  118.00,NA,NA,NA,NA,NA," ascensor"," 2 parqueadero", 491.696451,4601.884370,2928.69481,1284.65921, 564.003923
"12","d940a0ebc88a1d011c08a177","Cali", 647960970," 70.84 metros",NA,NA, 3, 2,"APARTAMENTO EN VENTA, CALI","venta de apartamento en el sur de cali, valle del lili  apartamento de 70.84 metros cuadrados, 10mo piso con ascensor,  consta de tres habitaciones, y 2 baños todas las habitaciones tienen closet  sala comedor, piso en cerámica, cocina integral, zona de oficios, dos balcones, parqueaderos, biblioteca, ventanal grande. la unidad tiene  piscina para adultos y niños,  salón social, juegos infantiles, gimnasio y  sauna.","Apartamento","Venta",3.368470,-76.51173," 70.84 metros"," 70.84 metros",NA,   70.84,   70.84," 2 baños",NA,NA,NA,NA," ascensor",NA,1622.583874,3230.448414,1919.37096,1678.00033,2230.088760
