> ridge
glmnet 

15430 samples
    7 predictor

Pre-processing: centered (7), scaled (7) 
Resampling: Cross-Validated (5 fold) 
Summary of sample sizes: 12345, 12342, 12345, 12344, 12344 
Resampling results across tuning parameters:

  lambda        RMSE        Rsquared   MAE      
  1.000000e-02  4641835841  0.2657839  468916240
  1.123324e-02  4641835841  0.2657839  468916240
  1.261857e-02  4641835841  0.2657839  468916240
  1.417474e-02  4641835841  0.2657839  468916240
  1.592283e-02  4641835841  0.2657839  468916240
  1.788650e-02  4641835841  0.2657839  468916240
  2.009233e-02  4641835841  0.2657839  468916240
  2.257020e-02  4641835841  0.2657839  468916240
  2.535364e-02  4641835841  0.2657839  468916240
  2.848036e-02  4641835841  0.2657839  468916240
  3.199267e-02  4641835841  0.2657839  468916240
  3.593814e-02  4641835841  0.2657839  468916240
  4.037017e-02  4641835841  0.2657839  468916240
  4.534879e-02  4641835841  0.2657839  468916240
  5.094138e-02  4641835841  0.2657839  468916240
  5.722368e-02  4641835841  0.2657839  468916240
  6.428073e-02  4641835841  0.2657839  468916240
  7.220809e-02  4641835841  0.2657839  468916240
  8.111308e-02  4641835841  0.2657839  468916240
  9.111628e-02  4641835841  0.2657839  468916240
  1.023531e-01  4641835841  0.2657839  468916240
  1.149757e-01  4641835841  0.2657839  468916240
  1.291550e-01  4641835841  0.2657839  468916240
  1.450829e-01  4641835841  0.2657839  468916240
  1.629751e-01  4641835841  0.2657839  468916240
  1.830738e-01  4641835841  0.2657839  468916240
  2.056512e-01  4641835841  0.2657839  468916240
  2.310130e-01  4641835841  0.2657839  468916240
  2.595024e-01  4641835841  0.2657839  468916240
  2.915053e-01  4641835841  0.2657839  468916240
  3.274549e-01  4641835841  0.2657839  468916240
  3.678380e-01  4641835841  0.2657839  468916240
  4.132012e-01  4641835841  0.2657839  468916240
  4.641589e-01  4641835841  0.2657839  468916240
  5.214008e-01  4641835841  0.2657839  468916240
  5.857021e-01  4641835841  0.2657839  468916240
  6.579332e-01  4641835841  0.2657839  468916240
  7.390722e-01  4641835841  0.2657839  468916240
  8.302176e-01  4641835841  0.2657839  468916240
  9.326033e-01  4641835841  0.2657839  468916240
  1.047616e+00  4641835841  0.2657839  468916240
  1.176812e+00  4641835841  0.2657839  468916240
  1.321941e+00  4641835841  0.2657839  468916240
  1.484968e+00  4641835841  0.2657839  468916240
  1.668101e+00  4641835841  0.2657839  468916240
  1.873817e+00  4641835841  0.2657839  468916240
  2.104904e+00  4641835841  0.2657839  468916240
  2.364489e+00  4641835841  0.2657839  468916240
  2.656088e+00  4641835841  0.2657839  468916240
  2.983647e+00  4641835841  0.2657839  468916240
  3.351603e+00  4641835841  0.2657839  468916240
  3.764936e+00  4641835841  0.2657839  468916240
  4.229243e+00  4641835841  0.2657839  468916240
  4.750810e+00  4641835841  0.2657839  468916240
  5.336699e+00  4641835841  0.2657839  468916240
  5.994843e+00  4641835841  0.2657839  468916240
  6.734151e+00  4641835841  0.2657839  468916240
  7.564633e+00  4641835841  0.2657839  468916240
  8.497534e+00  4641835841  0.2657839  468916240
  9.545485e+00  4641835841  0.2657839  468916240
  1.072267e+01  4641835841  0.2657839  468916240
  1.204504e+01  4641835841  0.2657839  468916240
  1.353048e+01  4641835841  0.2657839  468916240
  1.519911e+01  4641835841  0.2657839  468916240
  1.707353e+01  4641835841  0.2657839  468916240
  1.917910e+01  4641835841  0.2657839  468916240
  2.154435e+01  4641835841  0.2657839  468916240
  2.420128e+01  4641835841  0.2657839  468916240
  2.718588e+01  4641835841  0.2657839  468916240
  3.053856e+01  4641835841  0.2657839  468916240
  3.430469e+01  4641835841  0.2657839  468916240
  3.853529e+01  4641835841  0.2657839  468916240
  4.328761e+01  4641835841  0.2657839  468916240
  4.862602e+01  4641835841  0.2657839  468916240
  5.462277e+01  4641835841  0.2657839  468916240
  6.135907e+01  4641835841  0.2657839  468916240
  6.892612e+01  4641835841  0.2657839  468916240
  7.742637e+01  4641835841  0.2657839  468916240
  8.697490e+01  4641835841  0.2657839  468916240
  9.770100e+01  4641835841  0.2657839  468916240
  1.097499e+02  4641835841  0.2657839  468916240
  1.232847e+02  4641835841  0.2657839  468916240
  1.384886e+02  4641835841  0.2657839  468916240
  1.555676e+02  4641835841  0.2657839  468916240
  1.747528e+02  4641835841  0.2657839  468916240
  1.963041e+02  4641835841  0.2657839  468916240
  2.205131e+02  4641835841  0.2657839  468916240
  2.477076e+02  4641835841  0.2657839  468916240
  2.782559e+02  4641835841  0.2657839  468916240
  3.125716e+02  4641835841  0.2657839  468916240
  3.511192e+02  4641835841  0.2657839  468916240
  3.944206e+02  4641835841  0.2657839  468916240
  4.430621e+02  4641835841  0.2657839  468916240
  4.977024e+02  4641835841  0.2657839  468916240
  5.590810e+02  4641835841  0.2657839  468916240
  6.280291e+02  4641835841  0.2657839  468916240
  7.054802e+02  4641835841  0.2657839  468916240
  7.924829e+02  4641835841  0.2657839  468916240
  8.902151e+02  4641835841  0.2657839  468916240
  1.000000e+03  4641835841  0.2657839  468916240

Tuning parameter 'alpha' was held constant at a value of 0
RMSE was used to select the optimal model using the smallest value.
The final values used for the model were alpha = 0 and lambda = 1000.
> summary(ridge)
            Length Class      Mode     
a0          100    -none-     numeric  
beta        700    dgCMatrix  S4       
df          100    -none-     numeric  
dim           2    -none-     numeric  
lambda      100    -none-     numeric  
dev.ratio   100    -none-     numeric  
nulldev       1    -none-     numeric  
npasses       1    -none-     numeric  
jerr          1    -none-     numeric  
offset        1    -none-     logical  
call          5    -none-     call     
nobs          1    -none-     numeric  
lambdaOpt     1    -none-     numeric  
xNames        7    -none-     character
problemType   1    -none-     character
tuneValue     2    data.frame list     
obsLevels     1    -none-     logical  
param         0    -none-     list    
